chembl_id	link_name	link
CHEMBL157467	J. Med. Chem. (1981) 24:5	https://doi.org/10.1021/jm00137a023
CHEMBL155788	J. Med. Chem. (1981) 24:5	https://doi.org/10.1021/jm00137a023
CHEMBL158012	J. Med. Chem. (1981) 24:5	https://doi.org/10.1021/jm00137a023
CHEMBL158061	J. Med. Chem. (1981) 24:5	https://doi.org/10.1021/jm00137a023
CHEMBL50277	J. Med. Chem. (1981) 24:5	https://doi.org/10.1021/jm00137a023
CHEMBL346324	J. Med. Chem. (1981) 24:5	https://doi.org/10.1021/jm00137a023
CHEMBL160886	J. Med. Chem. (1981) 24:5	https://doi.org/10.1021/jm00137a023
CHEMBL156040	J. Med. Chem. (1981) 24:5	https://doi.org/10.1021/jm00137a023
CHEMBL156471	J. Med. Chem. (1981) 24:5	https://doi.org/10.1021/jm00137a023
CHEMBL157515	J. Med. Chem. (1981) 24:5	https://doi.org/10.1021/jm00137a023
CHEMBL156288	J. Med. Chem. (1981) 24:5	https://doi.org/10.1021/jm00137a023
CHEMBL156350	J. Med. Chem. (1981) 24:5	https://doi.org/10.1021/jm00137a023
CHEMBL346294	J. Med. Chem. (1981) 24:5	https://doi.org/10.1021/jm00137a023
CHEMBL345426	J. Med. Chem. (1981) 24:5	https://doi.org/10.1021/jm00137a023
CHEMBL156064	J. Med. Chem. (1981) 24:5	https://doi.org/10.1021/jm00137a023
CHEMBL155852	J. Med. Chem. (1981) 24:5	https://doi.org/10.1021/jm00137a023
CHEMBL154762	J. Med. Chem. (1981) 24:5	https://doi.org/10.1021/jm00137a023
CHEMBL156580	J. Med. Chem. (1981) 24:5	https://doi.org/10.1021/jm00137a023
CHEMBL156145	J. Med. Chem. (1981) 24:5	https://doi.org/10.1021/jm00137a023
CHEMBL156135	J. Med. Chem. (1981) 24:5	https://doi.org/10.1021/jm00137a023
CHEMBL22077	J. Med. Chem. (1988) 31:1	https://doi.org/10.1021/jm00396a040
CHEMBL327543	J. Med. Chem. (1988) 31:1	https://doi.org/10.1021/jm00396a040
CHEMBL327543	J. Med. Chem. (1988) 31:1	https://doi.org/10.1021/jm00396a040
CHEMBL329016	J. Med. Chem. (1988) 31:1	https://doi.org/10.1021/jm00396a040
CHEMBL90107	J. Med. Chem. (1988) 31:1	https://doi.org/10.1021/jm00396a040
CHEMBL329016	J. Med. Chem. (1988) 31:1	https://doi.org/10.1021/jm00396a040
CHEMBL90107	J. Med. Chem. (1988) 31:1	https://doi.org/10.1021/jm00396a040
CHEMBL420975	J. Med. Chem. (1988) 31:1	https://doi.org/10.1021/jm00396a040
CHEMBL89656	J. Med. Chem. (1988) 31:1	https://doi.org/10.1021/jm00396a040
CHEMBL420975	J. Med. Chem. (1988) 31:1	https://doi.org/10.1021/jm00396a040
CHEMBL89656	J. Med. Chem. (1988) 31:1	https://doi.org/10.1021/jm00396a040
CHEMBL329185	J. Med. Chem. (1988) 31:1	https://doi.org/10.1021/jm00396a040
CHEMBL329185	J. Med. Chem. (1988) 31:1	https://doi.org/10.1021/jm00396a040
CHEMBL21677	J. Med. Chem. (1988) 31:1	https://doi.org/10.1021/jm00396a040
CHEMBL21677	J. Med. Chem. (1988) 31:1	https://doi.org/10.1021/jm00396a040
CHEMBL22077	J. Med. Chem. (1988) 31:1	https://doi.org/10.1021/jm00396a040
CHEMBL22077	J. Med. Chem. (1988) 31:1	https://doi.org/10.1021/jm00396a040
CHEMBL89178	J. Med. Chem. (1988) 31:1	https://doi.org/10.1021/jm00396a040
CHEMBL89178	J. Med. Chem. (1988) 31:1	https://doi.org/10.1021/jm00396a040
CHEMBL21677	J. Med. Chem. (1988) 31:1	https://doi.org/10.1021/jm00396a040
CHEMBL21677	J. Med. Chem. (1988) 31:1	https://doi.org/10.1021/jm00396a040
CHEMBL327543	J. Med. Chem. (1988) 31:1	https://doi.org/10.1021/jm00396a040
CHEMBL327543	J. Med. Chem. (1988) 31:1	https://doi.org/10.1021/jm00396a040
CHEMBL21677	J. Med. Chem. (1988) 31:1	https://doi.org/10.1021/jm00396a040
CHEMBL21677	J. Med. Chem. (1988) 31:1	https://doi.org/10.1021/jm00396a040
CHEMBL329016	J. Med. Chem. (1988) 31:1	https://doi.org/10.1021/jm00396a040
